id;creat_at;update_at;price
1;2024-12-21T02:33:50;2024-12-20T20:06:02;10924.43
2;2024-12-20T15:40:40;2024-12-20T08:06:56;32589.77
3;2024-12-20T15:38:31;2024-12-21T04:08:09;3821.22
4;2024-12-20T09:06:32;2024-12-20T07:18:08;4403.24
5;2024-12-21T03:23:51;2024-12-20T07:51:24;19447.13
6;2024-12-21T04:27:52;2024-12-21T05:24:58;2384.14
7;2024-12-20T23:41:36;2024-12-20T19:36:12;5695.31
8;2024-12-20T23:05:35;2024-12-21T01:51:49;26622.04
9;2024-12-20T19:23:35;2024-12-21T06:23:04;26844.93
10;2024-12-20T09:25:25;2024-12-20T11:49:12;6178.4
